no,type,Word,Sub_Type,Type2,Type3,wildcard,Comment,sort,multiword,duplicate,regex_matches,word_copy,word_en
6788,,konglomerat(e)? (.* )?gering( )?schÃ¤tz(t|en),"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,never appeared term,konglomerategeringschÃ¤tzten,TRUE,FALSE,0,konglomerat(e)? (.* )?gering( )?schÃ¤tz(t|en),conglomerate(s)? (.* )?low( )?estimate(t|en)
6789,,konglomerat(e)? (.* )?(ha(t|ben)|besitz(t|en)|verfÃ¼g(t|en)) (.* )?(chuzpe|frechheit|stirn|nerv(en)?),"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,never appeared term,konglomeratehatbenbesitztenverfÃ¼gtenchuzpefrechheitstirnnerven,TRUE,FALSE,0,konglomerat(e)? (.* )?(ha(t|ben)|besitz(t|en)|verfÃ¼g(t|en)) (.* )?(chuzpe|frechheit|stirn|nerv(en)?),conglomerate(s)? (.* )?(have|possess|dispose) (.* )?(chutzpah|cheek|forehead|nerve(s)?)
6790,,konglomerat(e)? (.* )?(her|hin)(ab|unter)( )?(s(i)?eh(t|en)|schau(t|en)|blick(t|en)),"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,never appeared term,konglomerateherhinabuntersiehtenschautenblickten,TRUE,FALSE,0,konglomerat(e)? (.* )?(her|hin)(ab|unter)( )?(s(i)?eh(t|en)|schau(t|en)|blick(t|en)),conglomerate(s)? (.* )?(back|toward)(down|under)( )?(look(ing)|gazing(ing))
6791,,konglomerat(e)? (.* )?konspirier(t|en),konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konglomeratekonspirierten,TRUE,FALSE,0,konglomerat(e)? (.* )?konspirier(t|en),conglomerate(s)? (.* )?conspire(d|en)
6792,,konglomerat(e)? (.* )?ma(ÃŸ|ss)(t|en) sich,"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,never appeared term,konglomeratemaÃŸsstensich,TRUE,FALSE,0,konglomerat(e)? (.* )?ma(ÃŸ|ss)(t|en) sich,conglomerate(s)? (.* )?measure(s)
6793,,konglomerat(e)? (.* )?mauschel(t|n),paktierende eliten,conflictive,anti-elitism,regex,never appeared term,konglomeratemauscheltn,TRUE,FALSE,0,konglomerat(e)? (.* )?mauschel(t|n),conglomerate(s)? (.* )?mauschel(t|n)
6794,,konglomerat(e)? (.* )?missbrauch(t|en),verabscheuenswerte eliten,conflictive,anti-elitism,regex,never appeared term,konglomeratemissbrauchten,TRUE,FALSE,0,konglomerat(e)? (.* )?missbrauch(t|en),conglomerate(s)? (.* )?abuse(s)
6795,,konglomerat(e)? (.* )?mogel(t|en),unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,konglomeratemogelten,TRUE,FALSE,0,konglomerat(e)? (.* )?mogel(t|en),conglomerate(s)? (.* )?cheated(t|en)
6796,,konglomerat(e)? (.* )?(nimmt|nehmen) sich (.* )?heraus,"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,never appeared term,konglomeratenimmtnehmensichheraus,TRUE,FALSE,0,konglomerat(e)? (.* )?(nimmt|nehmen) sich (.* )?heraus,conglomerate(s)? (.* )?(takes out|takes out) (.* )?
6797,,konglomerat(e)? (.* )?paktier(t|en),paktierende eliten,conflictive,anti-elitism,regex,never appeared term,konglomeratepaktierten,TRUE,FALSE,0,konglomerat(e)? (.* )?paktier(t|en),conglomerate(s)? (.* )?pacted(t|en)
6798,,konglomerat(e)? (.* )?plÃ¼nder(t|n),korrupte eliten,conflictive,anti-elitism,regex,never appeared term,konglomerateplÃ¼ndertn,TRUE,FALSE,0,konglomerat(e)? (.* )?plÃ¼nder(t|n),conglomerate(s)? (.* )?plunder(t|n)
6799,,konglomerat(e)? (.* )?schÃ¤tz(t|en) (.* )?gering,"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,never appeared term,konglomerateschÃ¤tztengering,TRUE,FALSE,0,konglomerat(e)? (.* )?schÃ¤tz(t|en) (.* )?gering,conglomerate(s)? (.* )?estimate(t|en) (.* )?low
6800,,konglomerat(e)? (.* )?scheu(t|en) sich (.* )?nicht,"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,never appeared term,konglomeratescheutensichnicht,TRUE,FALSE,0,konglomerat(e)? (.* )?scheu(t|en) sich (.* )?nicht,conglomerate(s)? (.* )?were not afraid (.* )?
6801,,konglomerat(e)? (.* )?schummel(t|en),unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,konglomerateschummelten,TRUE,FALSE,0,konglomerat(e)? (.* )?schummel(t|en),conglomerate(s)? (.* )?cheat(t|en)
6802,,konglomerat(e)? (.* )?schwindel(t|en),unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,konglomerateschwindelten,TRUE,FALSE,0,konglomerat(e)? (.* )?schwindel(t|en),conglomerate(s)? (.* )? dizziness(s)
6803,,konglomerat(e)? sich (.* )?anma(ÃŸ|ss)(t|en),"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,never appeared term,konglomeratesichanmaÃŸssten,TRUE,FALSE,0,konglomerat(e)? sich (.* )?anma(ÃŸ|ss)(t|en),conglomerate(s)? themselves (.* )?presumption(s)
6804,,konglomerat(e)? sich (.* )?erlaub(t|en),"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,never appeared term,konglomeratesicherlaubten,TRUE,FALSE,0,konglomerat(e)? sich (.* )?erlaub(t|en),conglomerate(s)? allow(s) (.* )
6805,,konglomerat(e)? sich (.* )?heraus(nimmt|nehmen),"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,never appeared term,konglomeratesichherausnimmtnehmen,TRUE,FALSE,0,konglomerat(e)? sich (.* )?heraus(nimmt|nehmen),conglomerate(s)? (.* )?takes out
6806,,konglomerat(e)? sich (.* )?nicht (.* )?scheu(t|en),"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,never appeared term,konglomeratesichnichtscheuten,TRUE,FALSE,0,konglomerat(e)? sich (.* )?nicht (.* )?scheu(t|en),conglomerate(s)? (.* )?not (.* )?afraid
6807,,konglomerat(e)? sich (.* )?trau(t|en),"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,never appeared term,konglomeratesichtrauten,TRUE,FALSE,0,konglomerat(e)? sich (.* )?trau(t|en),conglomerate(s)? dare (.* )
6808,,konglomerat(e)? (.* )?(s(i)?eh(t|en)|schau(t|en)|blick(t|en)) (.* )?(her|hin)(ab|unter),"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,never appeared term,konglomeratesiehtenschautenblicktenherhinabunter,TRUE,FALSE,0,konglomerat(e)? (.* )?(s(i)?eh(t|en)|schau(t|en)|blick(t|en)) (.* )?(her|hin)(ab|unter),conglomerate(s)? (.* )?(look|gaze|look) (.* )?(here|there)(down|under)
6809,,konglomerat(e)? (.* )?trau(t|en) sich,"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,never appeared term,konglomeratetrautensich,TRUE,FALSE,0,konglomerat(e)? (.* )?trau(t|en) sich,conglomerate(s)? (.* )?dare(t|e)
6810,,konglomerat(e)? (.* )?tricks(t|en),unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,konglomeratetricksten,TRUE,FALSE,0,konglomerat(e)? (.* )?tricks(t|en),conglomerate(s)? (.* )?tricks(t|en)
6811,,konglomerat(e)? (.* )?tyrranisier(t|en),diktatorische eliten,conflictive,sovereignty,regex,never appeared term,konglomeratetyrranisierten,TRUE,FALSE,0,konglomerat(e)? (.* )?tyrranisier(t|en),conglomerate(s)? (.* )?tyrranized(t|en)
6812,,konglomerat(e)? (.* )?unterjoch(t|en),diktatorische eliten,conflictive,sovereignty,regex,never appeared term,konglomerateunterjochten,TRUE,FALSE,0,konglomerat(e)? (.* )?unterjoch(t|en),conglomerate(s)? (.* )?subjugated(t|en)
6813,,konglomerat(e)? (.* )?verachte(t|n),"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,never appeared term,konglomerateverachtetn,TRUE,FALSE,0,konglomerat(e)? (.* )?verachte(t|n),conglomerate(s)? (.* )?despise(t|n)
6814,,konglomerat(e)? (.* )?verr(Ã¤|a)t(en)?,verabscheuenswerte eliten,conflictive,anti-elitism,regex,never appeared term,konglomerateverrÃ¤aten,TRUE,FALSE,0,konglomerat(e)? (.* )?verr(Ã¤|a)t(en)?,conglomerate(s)? (.* )?verr(Ã¤|a)t(en)?
6815,,konglomerat(e)? (.* )?(vor)?tÃ¤usch(t|en),unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,konglomeratevortÃ¤uschten,TRUE,FALSE,0,konglomerat(e)? (.* )?(vor)?tÃ¤usch(t|en),conglomerate(s)? (.* )?(pretend)?
6816,,konglomerat(e)? (.* )?wag(t|en),"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,never appeared term,konglomeratewagten,TRUE,FALSE,0,konglomerat(e)? (.* )?wag(t|en),conglomerate(s)? (.* )?wag(t|en)
6817,,konglomerat(e)? (.* )?zwangsbeglÃ¼ck(t|en),diktatorische eliten,conflictive,sovereignty,regex,never appeared term,konglomeratezwangsbeglÃ¼ckten,TRUE,FALSE,0,konglomerat(e)? (.* )?zwangsbeglÃ¼ck(t|en),conglomerate(s)? (.* )?forced happiness
6818,,konglomerats(-| )?interesse(s|n)?,fremde interessen,conflictive,anti-elitism,regex,never appeared term,konglomeratsinteressesn,TRUE,FALSE,0,konglomerats(-| )?interesse(s|n)?,conglomerate(-| )?interest(s|n)?
6819,,konspiration(en)?,zzz_none,conflictive,anti-elitism,regex,never appeared term,konspirationen,FALSE,FALSE,0,konspiration(en)?,conspiracy(s)?
6820,,konspirativ(e|er|en) ([^[:space:]]*)elite(n)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeeren[^[:space:]]eliten,TRUE,FALSE,0,konspirativ(e|er|en) ([^[:space:]]*)elite(n)?,conspiratorial(s) ([^[:space:]]*)elite(s)?
6821,,konspirativ(e|er|en) ([^[:space:]]*)medien,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeeren[^[:space:]]medien,TRUE,FALSE,0,konspirativ(e|er|en) ([^[:space:]]*)medien,conspiratorial(e|er|en) ([^[:space:]]*)media
6822,,konspirativ(e|er|en) ([^[:space:]]*)regierung(en)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeeren[^[:space:]]regierungen,TRUE,FALSE,0,konspirativ(e|er|en) ([^[:space:]]*)regierung(en)?,conspiratorial(s) ([^[:space:]]*)government(s)?
6823,,konspirativ(e|er|en) bÃ¼rokratie,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenbÃ¼rokratie,TRUE,FALSE,0,konspirativ(e|er|en) bÃ¼rokratie,conspiratorial bureaucracy
6824,,konspirativ(e|er|en|em) ([^[:space:]]*)kapitalist(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenem[^[:space:]]kapitalistenininnen,TRUE,FALSE,0,konspirativ(e|er|en|em) ([^[:space:]]*)kapitalist(en|in|innen)?,conspiratorial(e|er|en|em) ([^[:space:]]*)capitalist(s|insides)?
6825,,konspirativ(e|er|en|em) ([^[:space:]]*)konzern(e|es|s|en)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenem[^[:space:]]konzerneessen,TRUE,FALSE,0,konspirativ(e|er|en|em) ([^[:space:]]*)konzern(e|es|s|en)?,conspiratorial(e|er|en|em) ([^[:space:]]*)corporation(e|es|s|en)?
6826,,konspirativ(e|er|en|em) bÃ¼rokrat(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenembÃ¼rokratenininnen,TRUE,FALSE,0,konspirativ(e|er|en|em) bÃ¼rokrat(en|in|innen)?,conspiratorial bureaucrat(s)?
6827,,konspirativ(e|er|en|em) expert(e|en|in|innen),konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenemexperteenininnen,TRUE,FALSE,0,konspirativ(e|er|en|em) expert(e|en|in|innen),conspiratorial expert(s)
6828,,konspirativ(e|er|en|em) fachm(a|Ã¤)nn(er|s|es|e|ern)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenemfachmaÃ¤nnerseseern,TRUE,FALSE,0,konspirativ(e|er|en|em) fachm(a|Ã¤)nn(er|s|es|e|ern)?,conspiratorial(e|he|en|em) specialist(a|Ã¤)nn(he|s|es|e|ern)?
6829,,konspirativ(e|er|en|em) forscher(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenemforschersninnenin,TRUE,FALSE,0,konspirativ(e|er|en|em) forscher(s|n|innen|in)?,conspiratorial researcher(s)?
6830,,konspirativ(e|er|en|em) gelehrte(n|r)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenemgelehrtenr,TRUE,FALSE,0,konspirativ(e|er|en|em) gelehrte(n|r)?,conspiratorial scholar(s)?
6831,,konspirativ(e|er|en|em) gro(ÃŸ|ss)unternehme(r|rs|rn|rin|rinnen|n)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenemgroÃŸssunternehmerrsrnrinrinnenn,TRUE,FALSE,0,konspirativ(e|er|en|em) gro(ÃŸ|ss)unternehme(r|rs|rn|rin|rinnen|n)?,conspiratorial large companies?
6832,,konspirativ(e|er|en|em) herrschende(n|r)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenemherrschendenr,TRUE,FALSE,0,konspirativ(e|er|en|em) herrschende(n|r)?,conspiratorial ruler(s)?
6833,,konspirativ(e|er|en|em) intellektuelle(n|r)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenemintellektuellenr,TRUE,FALSE,0,konspirativ(e|er|en|em) intellektuelle(n|r)?,conspiratorial intellectual?
6834,,konspirativ(e|er|en|em) journalismus,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenemjournalismus,TRUE,FALSE,0,konspirativ(e|er|en|em) journalismus,conspiratorial journalism
6835,,konspirativ(e|er|en|em) journalist(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenemjournalistenininnen,TRUE,FALSE,0,konspirativ(e|er|en|em) journalist(en|in|innen)?,Conspiratorial journalist(s)?
6836,,konspirativ(e|er|en|em) leistungstrÃ¤ger(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenemleistungstrÃ¤gersninnenin,TRUE,FALSE,0,konspirativ(e|er|en|em) leistungstrÃ¤ger(s|n|innen|in)?,conspiratorial high achievers?
6837,,konspirativ(e|er|en|em) medienvertreter(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenemmedienvertretersninnenin,TRUE,FALSE,0,konspirativ(e|er|en|em) medienvertreter(s|n|innen|in)?,conspiratorial media representative(s)?
6838,,konspirativ(e|er|en|em) politiker(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenempolitikersninnenin,TRUE,FALSE,0,konspirativ(e|er|en|em) politiker(s|n|innen|in)?,Conspiratorial politician?
6839,,konspirativ(e|er|en|em) regent(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenemregentenininnen,TRUE,FALSE,0,konspirativ(e|er|en|em) regent(en|in|innen)?,conspiratorial regent?
6840,,konspirativ(e|er|en|em) regierende(n|r)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenemregierendenr,TRUE,FALSE,0,konspirativ(e|er|en|em) regierende(n|r)?,conspiratorial government?
6841,,konspirativ(e|er|en|em) souverÃ¤n(s)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenemsouverÃ¤ns,TRUE,FALSE,0,konspirativ(e|er|en|em) souverÃ¤n(s)?,conspiratorial(s) sovereign(s)?
6842,,konspirativ(e|er|en|em) spezialist(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenemspezialistenininnen,TRUE,FALSE,0,konspirativ(e|er|en|em) spezialist(en|in|innen)?,Conspiratorial specialist(s)?
6843,,konspirativ(e|er|en|em) wissenschaft(l)?er(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenemwissenschaftlersninnenin,TRUE,FALSE,0,konspirativ(e|er|en|em) wissenschaft(l)?er(s|n|innen|in)?,conspiratorial scientists?
6844,,konspirativ(e|er|en) fachfrau(en)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenfachfrauen,TRUE,FALSE,0,konspirativ(e|er|en) fachfrau(en)?,conspiratorial professional(s)?
6845,,konspirativ(e|er|en) fachleute(n)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenfachleuten,TRUE,FALSE,0,konspirativ(e|er|en) fachleute(n)?,conspiratorial experts?
6846,,konspirativ(e|er|en) forschung,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenforschung,TRUE,FALSE,0,konspirativ(e|er|en) forschung,conspiratorial research
6847,,konspirativ(e|er|en) multis,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenmultis,TRUE,FALSE,0,konspirativ(e|er|en) multis,conspiratorial multinationals
6848,,konspirativ(e|er|en) partei,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenpartei,TRUE,FALSE,0,konspirativ(e|er|en) partei,conspiratorial party
6849,,konspirativ(e|er|en) parteien,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenparteien,TRUE,FALSE,0,konspirativ(e|er|en) parteien,conspiratorial parties
6850,,konspirativ(e|er|en) regierung(en)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenregierungen,TRUE,FALSE,0,konspirativ(e|er|en) regierung(en)?,conspiratorial government(s)?
6851,,konspirativ(e|er|en) wirtschaft,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenwirtschaft,TRUE,FALSE,0,konspirativ(e|er|en) wirtschaft,conspiratorial economy
6852,,konspirativ(e|er|en) wissenschaft(en)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeerenwissenschaften,TRUE,FALSE,0,konspirativ(e|er|en) wissenschaft(en)?,conspiratorial science(s)?
6853,,konspirativ(e|er|es|en|em) konglomerat(e|es|s|en)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeeresenemkonglomerateessen,TRUE,FALSE,0,konspirativ(e|er|es|en|em) konglomerat(e|es|s|en)?,conspiratorial(e|he|es|en|em) conglomerate(e|es|s|en)?
6854,,konspirativ(e|er|es|en|em) politiker(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeeresenempolitikersninnenin,TRUE,FALSE,0,konspirativ(e|er|es|en|em) politiker(s|n|innen|in)?,conspiratorial politician?
6855,,konspirativ(e|es|en|em) ([^[:space:]]*)establishment(s)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeesenem[^[:space:]]establishments,TRUE,FALSE,0,konspirativ(e|es|en|em) ([^[:space:]]*)establishment(s)?,conspiratorial(e|es|en|em) ([^[:space:]]*)establishment(s)?
6856,,konspirativ(e|es|en|em) system(s)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirativeesenemsystems,TRUE,FALSE,0,konspirativ(e|es|en|em) system(s)?,conspiratorial(e|es|en|em) system(s)?
6857,,konspirier(.*),zzz_none,conflictive,anti-elitism,regex,never appeared term,konspirier,FALSE,FALSE,0,konspirier(.*),conspire(.*)
6858,,konspirieren ([^[:space:]]*)medien,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirieren[^[:space:]]medien,TRUE,FALSE,0,konspirieren ([^[:space:]]*)medien,conspire ([^[:space:]]*)media
6859,,konspirierend(e|er|en) ([^[:space:]]*)elite(n)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeeren[^[:space:]]eliten,TRUE,FALSE,0,konspirierend(e|er|en) ([^[:space:]]*)elite(n)?,colluding(s) ([^[:space:]]*)elite(s)?
6860,,konspirierend(e|er|en) ([^[:space:]]*)medien,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeeren[^[:space:]]medien,TRUE,FALSE,0,konspirierend(e|er|en) ([^[:space:]]*)medien,conspiratorial ([^[:space:]]*)media
6861,,konspirierend(e|er|en) ([^[:space:]]*)regierung(en)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeeren[^[:space:]]regierungen,TRUE,FALSE,0,konspirierend(e|er|en) ([^[:space:]]*)regierung(en)?,conspiring ([^[:space:]]*)government(s)?
6862,,konspirierend(e|er|en) bÃ¼rokratie,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenbÃ¼rokratie,TRUE,FALSE,0,konspirierend(e|er|en) bÃ¼rokratie,conspiratorial bureaucracy
6863,,konspirierend(e|er|en|em) ([^[:space:]]*)kapitalist(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenem[^[:space:]]kapitalistenininnen,TRUE,FALSE,0,konspirierend(e|er|en|em) ([^[:space:]]*)kapitalist(en|in|innen)?,colluding ([^[:space:]]*)capitalist(s)?
6864,,konspirierend(e|er|en|em) ([^[:space:]]*)konzern(e|es|s|en)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenem[^[:space:]]konzerneessen,TRUE,FALSE,0,konspirierend(e|er|en|em) ([^[:space:]]*)konzern(e|es|s|en)?,conspiratorial(e|er|en|em) ([^[:space:]]*)conspiracy(e|es|s|en)?
6865,,konspirierend(e|er|en|em) bÃ¼rokrat(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenembÃ¼rokratenininnen,TRUE,FALSE,0,konspirierend(e|er|en|em) bÃ¼rokrat(en|in|innen)?,conspiring bureaucrat(s)?
6866,,konspirierend(e|er|en|em) expert(e|en|in|innen),konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenemexperteenininnen,TRUE,FALSE,0,konspirierend(e|er|en|em) expert(e|en|in|innen),conspiratorial expert(s)
6867,,konspirierend(e|er|en|em) fachm(a|Ã¤)nn(er|s|es|e|ern)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenemfachmaÃ¤nnerseseern,TRUE,FALSE,0,konspirierend(e|er|en|em) fachm(a|Ã¤)nn(er|s|es|e|ern)?,colluding(e|he|en|em) specialist(a|Ã¤)nn(he|s|es|e|ern)?
6868,,konspirierend(e|er|en|em) forscher(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenemforschersninnenin,TRUE,FALSE,0,konspirierend(e|er|en|em) forscher(s|n|innen|in)?,conspiratorial researchers?
6869,,konspirierend(e|er|en|em) gelehrte(n|r)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenemgelehrtenr,TRUE,FALSE,0,konspirierend(e|er|en|em) gelehrte(n|r)?,conspiratorial scholar?
6870,,konspirierend(e|er|en|em) gro(ÃŸ|ss)unternehme(r|rs|rn|rin|rinnen|n)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenemgroÃŸssunternehmerrsrnrinrinnenn,TRUE,FALSE,0,konspirierend(e|er|en|em) gro(ÃŸ|ss)unternehme(r|rs|rn|rin|rinnen|n)?,conspiring large companies?
6871,,konspirierend(e|er|en|em) herrschende(n|r)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenemherrschendenr,TRUE,FALSE,0,konspirierend(e|er|en|em) herrschende(n|r)?,conspiratorial ruler(s)?
6872,,konspirierend(e|er|en|em) intellektuelle(n|r)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenemintellektuellenr,TRUE,FALSE,0,konspirierend(e|er|en|em) intellektuelle(n|r)?,conspiratorial intellectual(s)?
6873,,konspirierend(e|er|en|em) journalismus,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenemjournalismus,TRUE,FALSE,0,konspirierend(e|er|en|em) journalismus,conspiratorial journalism
6874,,konspirierend(e|er|en|em) journalist(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenemjournalistenininnen,TRUE,FALSE,0,konspirierend(e|er|en|em) journalist(en|in|innen)?,colluding journalist(s)?
6875,,konspirierend(e|er|en|em) leistungstrÃ¤ger(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenemleistungstrÃ¤gersninnenin,TRUE,FALSE,0,konspirierend(e|er|en|em) leistungstrÃ¤ger(s|n|innen|in)?,conspiring high achievers?
6876,,konspirierend(e|er|en|em) medienvertreter(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenemmedienvertretersninnenin,TRUE,FALSE,0,konspirierend(e|er|en|em) medienvertreter(s|n|innen|in)?,conspiring media representatives?
6877,,konspirierend(e|er|en|em) politiker(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenempolitikersninnenin,TRUE,FALSE,0,konspirierend(e|er|en|em) politiker(s|n|innen|in)?,Conspiring politician(s)?
6878,,konspirierend(e|er|en|em) regent(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenemregentenininnen,TRUE,FALSE,0,konspirierend(e|er|en|em) regent(en|in|innen)?,conspiratorial regent(s)?
6879,,konspirierend(e|er|en|em) regierende(n|r)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenemregierendenr,TRUE,FALSE,0,konspirierend(e|er|en|em) regierende(n|r)?,conspiratorial ruler(s)?
6880,,konspirierend(e|er|en|em) souverÃ¤n(s)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenemsouverÃ¤ns,TRUE,FALSE,0,konspirierend(e|er|en|em) souverÃ¤n(s)?,colluding(s) sovereign(s)?
6881,,konspirierend(e|er|en|em) spezialist(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenemspezialistenininnen,TRUE,FALSE,0,konspirierend(e|er|en|em) spezialist(en|in|innen)?,colluding specialist(s)?
6882,,konspirierend(e|er|en|em) wissenschaft(l)?er(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenemwissenschaftlersninnenin,TRUE,FALSE,0,konspirierend(e|er|en|em) wissenschaft(l)?er(s|n|innen|in)?,conspiratorial scientists?
6883,,konspirierend(e|er|en) fachfrau(en)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenfachfrauen,TRUE,FALSE,0,konspirierend(e|er|en) fachfrau(en)?,conspiring professional(s)?
6884,,konspirierend(e|er|en) fachleute(n)?,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenfachleuten,TRUE,FALSE,0,konspirierend(e|er|en) fachleute(n)?,conspiring experts?
6885,,konspirierend(e|er|en) forschung,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenforschung,TRUE,FALSE,0,konspirierend(e|er|en) forschung,conspiratorial research
6886,,konspirierend(e|er|en) multis,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenmultis,TRUE,FALSE,0,konspirierend(e|er|en) multis,conspiring multinationals
6887,,konspirierend(e|er|en) partei,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenpartei,TRUE,FALSE,0,konspirierend(e|er|en) partei,conspiratorial party
6888,,konspirierend(e|er|en) parteien,konspirative eliten,conflictive,anti-elitism,regex,never appeared term,konspirierendeerenparteien,TRUE,FALSE,0,konspirierend(e|er|en) parteien,conspiring parties
